Thickness,Voltage,Torch-to-Work Distance,Cutting Speed,Total Cutting Distance,,,,,,
22,162,6.4,950,78000,,,,,,
22,162,6.4,1200,77000,,,,,,
22,162,6.4,1420,74000,,,,,,
22,166,7.2,950,80000,,,,,,
22,166,7.2,1200,79000,,,,,,
22,166,7.2,1420,76000,,,,,,
22,170,8,950,78000,,,,,,
22,170,8,1200,77000,,,,,,
22,170,8,1420,72000,,,,,,
28,170,8,720,62000,,,,,,
28,170,8,850,61000,,,,,,
28,170,8,950,58000,,,,,,
28,178,9.6,720,65000,,,,,,
28,178,9.6,850,64000,,,,,,
28,178,9.6,950,61000,,,,,,
28,180,10,720,58000,,,,,,
28,180,10,850,56000,,,,,,
28,180,10,950,55000,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
