temp,p,no,0ppm,200ppm,400ppm,600ppm,800ppm,1000ppm,1200ppm,1400ppm,1600ppm,2000 ppm,2500 ppm
324.7,11.4,0,0,0,0,0,0,0,0,0,0,0,0
350,11.36,1,0.521164,0.522199,0.522365,0.522339,0.52278,0.523014,0.523264,0.523629,0.523948,0.524265,0.524512
374.7,11.32,2,1.26474,1.266985,1.270039,1.271721,1.273495,1.274979,1.276487,1.278065,1.279184,1.28157,1.284193
399.3,11.27,3,2.323532,2.338824,2.350183,2.359753,2.368227,2.375934,2.383101,2.390065,2.396244,2.407976,2.421589
424,11.22,4,3.913078,3.971833,4.020674,4.063351,4.101876,4.1374,4.170501,4.20166,4.231296,4.286329,4.349787
451.3,11.17,5,7.038567,7.300785,7.531622,7.741569,7.936005,8.118424,8.291328,8.456067,8.614056,8.913114,9.261672
460.7,11.11,6,10.306786,10.808612,11.25686,11.666493,12.0467,12.402982,12.739285,13.058335,13.362346,13.931772,14.583877
466,11.05,7,13.932304,14.660144,15.30501,15.888112,16.421865,16.915613,17.375776,17.807217,18.213583,18.963068,19.803576
471.3,11,8,18.642807,19.56011,20.359735,21.072657,21.717087,22.307127,22.85157,23.358025,23.831696,24.69804,25.659225
476.7,10.94,9,24.359924,25.360992,26.231483,27.005661,27.704718,28.343033,28.931835,29.478745,29.989864,30.923542,31.958382
478.7,10.84,10,28.308365,29.30724,30.180832,30.960091,31.66523,32.31089,32.906834,33.461311,33.980137,34.928379,35.980583
479.3,10.75,11,31.242752,32.223251,33.084614,33.855391,34.554806,35.195974,35.788872,36.34103,36.85804,37.804148,38.854849
480,10.66,12,34.177139,35.139263,35.988396,36.75069,37.444382,38.081059,38.67091,39.220749,39.735943,40.679916,41.729115
481.3,10.56,13,37.448574,38.390179,39.224659,39.976826,40.662582,41.293949,41.879459,42.425587,42.938137,43.878025,44.924122
482.3,10.43,14,40.42654,41.345573,42.163891,42.903515,43.579533,44.202778,44.781258,45.32193,45.829872,46.761559,47.799557
483.3,10.3,15,43.33046,44.226776,45.027725,45.753853,46.418617,47.032372,47.603191,48.136925,48.638306,49.559395,50.586143
484.3,10.24,16,46.164894,47.037941,47.821098,48.532108,49.184498,49.788074,50.349396,50.874805,51.368923,52.276535,53.289818
485.3,10.19,17,48.933201,49.782555,50.546738,51.242382,51.881306,52.472824,53.023987,53.54018,54.025646,54.91832,55.915012
486.7,10.1,18,51.944801,52.768734,53.511921,54.189819,54.81374,55.39196,55.931206,56.436287,56.912067,57.787144,58.764351
